호스트명,숙소명,카테고리,질문,답변
예원,,반려동물,반려동물 관련 질문입니다.,
예원,,세탁시설,세탁시설 관련 질문입니다.,
예원,,침구추가,침구추가 관련 질문입니다.,
예원,,얼리 체크인,얼리 체크인 관련 질문입니다.,
예원,,지하철,지하철 관련 질문입니다.,
예원,,조리도구,조리도구 관련 질문입니다.,
예원,,맛집,맛집 관련 질문입니다.,
예원,,세면도구,세면도구 관련 질문입니다.,
예원,,수건제공,수건제공 관련 질문입니다.,
예원,,조식,조식 관련 질문입니다.,
예원,,주차,주차 관련 질문입니다.,
예원,,실내취식,실내취식 관련 질문입니다.,
예원,,관광지 추천,관광지 추천 관련 질문입니다.,
예원,,짐 보관,짐 보관 관련 질문입니다.,
예원,,청소,청소 관련 질문입니다.,
예원,,칫솔,칫솔 관련 질문입니다.,
예원,,OTT,OTT 관련 질문입니다.,
예원,,소음,소음 관련 질문입니다.,
예원,,바다,바다 관련 질문입니다.,
예원,,치안,치안 관련 질문입니다.,
예원,,수건,수건 관련 질문입니다.,
예원,,취식,취식 관련 질문입니다.,
예원,,체크인,체크인 관련 질문입니다.,
예원,하이보이,반려동물,반려동물 관련 질문입니다.,반려동물 동반 가능합니다.
예원,하이보이,세탁시설,세탁시설 관련 질문입니다.,"건조기는 없으나, 세탁기는 있습니다."
예원,하이보이,침구추가,침구추가 관련 질문입니다.,미리 말씀해 주시면 추가로 제공드리고 있습니다.
예원,하이보이,얼리 체크인,얼리 체크인 관련 질문입니다.,"체크인 30분 전 미리 말씀해 주시면, 얼리 체크인 도와드리겠습니다."
예원,하이보이,지하철,지하철 관련 질문입니다.,숙소 기준 도보 10분 거리에 이태원역이 위치해 있습니다.
예원,하이보이,조리도구,조리도구 관련 질문입니다.,기본적인 조리도구는 모두 마련되어 있습니다.
예원,하이보이,맛집,맛집 관련 질문입니다.,숙소 기준 도보 5분거리에 하이보이 곱창맛집이 있습니다.
예원,하이보이,세면도구,세면도구 관련 질문입니다.,"기본적인 세면도구(샴푸, 린스)는 존재하나, 칫솔은 구비되어 있지 않습니다."
예원,하이보이,수건제공,수건제공 관련 질문입니다.,수건은 하루에 기본 3장 제공드립니다.
예원,하이보이,조식,조식 관련 질문입니다.,미리 말씀해주시면 다음날 오전 9시 30분에 제공드리고 있습니다.
예원,하이보이,주차,주차 관련 질문입니다.,건물 지하에 지하주차장이 마련되어 있습니다.
예원,하이보이,실내취식,실내취식 관련 질문입니다.,조리 및 실내취식 모두 가능합니다.
예원,하이보이,관광지 추천,관광지 추천 관련 질문입니다.,"숙소 기준 도보 18분, 버스 7분 거리에 하이보이 명소가 있습니다."
예원,하이보이,짐 보관,짐 보관 관련 질문입니다.,체크인 2시간 전부터는 짐 보관이 가능합니다. 오시기 전 미리 연락만 주세요.
예원,하이보이,청소,청소 관련 질문입니다.,"매일 청소를 진행하고 있으며, 사용자가 불편감을 못느끼게 최선을 다 하고 있습니다."
예원,하이보이,칫솔,칫솔 관련 질문입니다.,칫솔은 따로 제공되지 않습니다.
예원,하이보이,OTT,OTT 관련 질문입니다.,넷플릭스와 디즈니플러스 가능합니다.
예원,하이보이,소음,소음 관련 질문입니다.,오후 10시 이후로는 조용합니다.
예원,하이보이,바다,바다 관련 질문입니다.,주변에 바다는 없습니다.
예원,하이보이,치안,치안 관련 질문입니다.,치안이 좋은 편입니다.
예원,하이보이,수건,수건 관련 질문입니다.,필요한 경우 수건은 더 제공드리고 있습니다.
예원,하이보이,취식,취식 관련 질문입니다.,조식 및 실내취식 모두 가능합니다.
예원,하이보이,체크인,체크인 관련 질문입니다.,체크인 기준 시간은 오후 3시입니다.
민지,하이보이,OTT,OTT 관련 질문입니다.,넷플릭스 사용 가능합니다.
민지,하이보이,관광지 추천,관광지 추천 관련 질문입니다.,도보 15분 거리에 '하이보이' 관광지가 있습니다.
민지,하이보이,맛집,맛집 관련 질문입니다.,주변에 흑돼지 맛집인 '하이보이'가 있습니다. 
민지,하이보이,바다,바다 관련 질문입니다.,숙소 주변에 바다는 없습니다.
민지,하이보이,반려동물,반려동물 관련 질문입니다.,저희 숙소는 반려동물 동반이 가능합니다.
민지,하이보이,세면도구,세면도구 관련 질문입니다.,세면도구는 별도지참 부탁드립니다.
민지,하이보이,세탁시설,세탁시설 관련 질문입니다.,저희 숙소 내에는 세탁기가 있어 사용 가능하시며 세제도 구비되어있습니다.
민지,하이보이,소음,소음 관련 질문입니다.,밤 10시 이후론 조용합니다.
민지,하이보이,수건,수건 관련 질문입니다.,1인당 하루 2개씩 제공하고 있습니다.
민지,하이보이,수건제공,수건제공 관련 질문입니다.,기본 3개 제공드리고 있습니다.
민지,하이보이,실내취식,실내취식 관련 질문입니다.,실내에서 간단한 음식은 취식 가능합니다.
민지,하이보이,얼리 체크인,얼리 체크인 관련 질문입니다.,앞 예약자가 존재해 얼리 체크인은 불가능합니다.
민지,하이보이,조리도구,조리도구 관련 질문입니다.,숙소 내 조리도구는 별도로 갖춰져있지 않습니다.
민지,하이보이,조식,조식 관련 질문입니다.,미리 문의 주시면 다음날 오전 9시에 준비해 드립니다.
민지,하이보이,주차,주차 관련 질문입니다.,건물 내 지하주차장이 있습니다.
민지,하이보이,지하철,지하철 관련 질문입니다.,"가까운 지하철로는 하이보이역이 있으며, 도보 3분 거리의 버스도 이용가능합니다."
민지,하이보이,짐 보관,짐 보관 관련 질문입니다.,연락주시면 짐 보관 도와드립니다.
민지,하이보이,청소,청소 관련 질문입니다.,청소는 꾸준히 하고 있습니다.
민지,하이보이,체크인,체크인 관련 질문입니다.,오후 3시 고정 체크인입니다.
민지,하이보이,취식,취식 관련 질문입니다.,취식 불가능합니다.
민지,하이보이,치안,치안 관련 질문입니다.,안전한편입니다.
민지,하이보이,침구추가,침구추가 관련 질문입니다.,침구 추가는 불가능합니다.
민지,하이보이,칫솔,칫솔 관련 질문입니다.,개인지참 부탁드립니다.
